Location,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
Mumbai,259,42,259,116,13,116,2,4,2,3,0,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,31,16,31,418,75,418,0,0,0,418,75,418
Nagpur,474,405,110,397,328,107,19,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,748,224,0,0,0,890,748,224
Nasik,41,0,45,57,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,104,0,0,0,98,0,104
Patna,101,24,86,157,118,40,42,78,4,0,0,0,0,0,0,0,0,0,73,23,51,73,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,243,181,0,0,0,373,243,181
Pune,52,13,51,75,11,65,6,0,6,0,0,0,5,0,5,1,0,1,3,0,3,0,0,0,3,0,3,4,0,4,0,0,0,3,0,2,25,18,8,174,42,145,0,0,0,174,42,145
Raipur,24,14,8,690,410,107,4,3,0,12,5,1,31,24,2,18,8,2,0,0,0,0,0,0,0,0,0,17,13,1,24,18,4,87,34,34,0,0,0,907,529,159,0,0,0,907,529,159
Rajkot,0,0,0,432,324,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,324,138,0,0,0,432,324,138
Ranchi,0,0,0,154,101,98,44,25,44,49,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,144,164,0,0,0,247,144,164
Srinagar,0,0,0,276,275,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,275,45,0,0,0,276,275,45
Surat,0,0,0,567,415,190,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,575,423,191,0,0,0,575,423,191
Thiruvananthapuram,512,467,29,609,681,71,9,6,0,3,1,2,2,1,0,20,29,5,3,3,1,2,2,0,1,1,1,0,0,0,32,29,0,24,45,0,0,0,0,1214,1262,108,0,0,0,1214,1262,108
Thrissur,13,9,6,1448,1621,126,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,1632,134,0,0,0,1464,1632,134
Tiruchirappalli,12,18,0,385,383,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,401,87,0,0,0,398,401,87
Vadodara,21,15,3,452,389,150,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,408,153,0,0,0,481,408,153
Varanasi,23,11,14,14,5,10,6,1,6,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,0,0,0,0,0,0,1,1,1,74,47,18,0,0,0,120,66,51,0,0,0,120,66,51
Vasai Virar,35,12,26,224,151,121,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,5,5,274,168,160,0,0,0,274,168,160
Vijayawada,342,311,54,505,507,133,96,102,67,0,0,0,0,0,0,0,0,0,48,57,20,48,57,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,977,274,0,0,0,991,977,274
Vishakhapatnam,287,347,53,853,833,201,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,1182,255,0,0,0,1144,1182,255
